Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
DG Bradman (AUS),19281948,52,80,10,6996,334,99.94,9800+,58.60,29,13,7,626,6
HC Brook (ENG),20222023,12,20,1,1181,186,62.15,1287,91.76,4,7,1,141,23
AC Voges (AUS),20152016,20,31,7,1485,269*,61.87,2667,55.68,5,4,2,186,5
RG Pollock (SA),19631970,23,41,4,2256,274,60.97,1707+,54.48,7,11,1,246,11
GA Headley (WI),19301954,22,40,4,2190,270*,60.83,416+,56.00,10,5,2,104,1
H Sutcliffe (ENG),19241935,54,84,9,4555,194,60.73,6558+,34.59,16,23,2,202,6
E Paynter (ENG),19311939,20,31,5,1540,243,59.23,1288+,45.88,4,7,3,125,4
KF Barrington (ENG),19551968,82,131,15,6806,256,58.67,4957+,42.42,20,35,5,591,27
ED Weekes (WI),19481958,48,81,5,4455,207,58.61,,,15,19,6,258,2
SPD Smith (AUS),20102023,102,181,22,9320,239,58.61,17292,53.89,32,39,9,1026,52
WR Hammond (ENG),19271947,85,140,16,7249,336*,58.45,7491+,38.07,22,24,4,419,27
GS Sobers (WI),19541974,93,160,21,8032,365*,57.78,4063+,53.58,26,30,12,593,32
KC Sangakkara (SL),20002015,134,233,17,12400,319,57.4,22882,54.19,38,52,11,1491,51
DJ Mitchell (NZ),20192023,18,27,4,1316,190,57.21,2395,54.94,5,8,1,130,26
JB Hobbs (ENG),19081930,61,102,7,5410,211,56.94,5363+,46.22,15,28,4,276,8
CL Walcott (WI),19481960,44,74,7,3798,220,56.68,,,15,14,1,107,11
L Hutton (ENG),19371955,79,138,15,6971,364,56.67,2844+,39.34,19,33,5,358,7
JH Kallis (ICC/SA),19952013,166,280,40,13289,224,55.37,28903,45.97,45,58,16,1488,97
GE Tyldesley (ENG),19211929,14,20,2,990,122,55,178+,29.21,3,6,2,37,2
KS Williamson (NZ),20102023,94,164,16,8124,251,54.89,15785,51.46,28,33,10,897,21
CA Davis (WI),19681973,15,29,5,1301,183,54.2,665+,35.48,4,4,1,65,1
VG Kambli (IND),19931995,17,21,1,1084,227,54.2,1823,59.46,4,3,3,124,6
GS Chappell (AUS),19701984,87,151,19,7110,247*,53.86,13079+,51.53,24,31,12,755,16
