Customer ID,Gender,Birthdate,Transaction Amount,Date,Merchant Name,Category
752858,F,20-10-2002,35.47,3/4/2023,Smith-Russell,Cosmetic
26381,,24-10-1985,2552.72,17-07-2023,"Peck, Spence and Young",Travel
305449,M,25-10-1981,115.97,20-09-2023,Steele Inc,Clothing
988259,M,26-10-1977,11.31,11/1/2023,"Wilson, Wilson and Russell",Cosmetic
764762,F,2/11/1951,62.21,13-06-2023,Palmer-Hinton,Electronics
576539,F,20-10-2001,99.14,24-08-2023,"Tran, Torres and Joyce",Cosmetic
124681,,26-10-1976,145.94,30-08-2023,"Evans, Griffin and Torres",Cosmetic
521807,F,28-10-1968,161.39,8/2/2023,Miller PLC,Cosmetic
504238,M,31-10-1957,77.73,12/1/2023,Jackson-Morgan,Restaurant
583532,F,27-10-1974,142.85,7/6/2023,"Blake, Mays and Anderson",Clothing
924841,M,26-10-1976,928.68,11/2/2023,"Miller, Walker and Bond",Travel
123235,M,28-10-1971,387.78,24-09-2023,"Barker, Ortiz and Cox",Market
840546,M,28-10-1968,142.07,7/8/2023,Taylor-Morrow,Cosmetic
516709,M,19-10-2004,107.44,22-04-2023,Gonzalez-Hunter,Cosmetic
683760,M,19-10-2004,54.31,10/4/2023,Underwood-Contreras,Cosmetic
777948,F,29-10-1966,79.57,5/1/2023,Rodriguez Ltd,Restaurant
440706,F,31-10-1957,441.18,28-02-2023,Wilson-Zavala,Market
793150,,30-10-1962,475.82,22-04-2023,Hughes Inc,Market
27213,M,2/11/1949,106.26,20-05-2023,Morris-Foster,Cosmetic
401993,M,21-10-1999,1468.14,14-05-2023,"Thompson, Lopez and Mason",Travel
103920,M,26-10-1977,40.08,28-05-2023,"Barber, Williamson and Norman",Clothing
943548,,22-10-1995,39.87,1/6/2023,Shaw-Elliott,Clothing
178351,F,22-10-1993,151.73,29-06-2023,Solis-Washington,Clothing
615357,M,22-10-1993,17.05,17-04-2023,Wright Inc,Restaurant
111696,,23-10-1991,108.3,14-06-2023,"Nguyen, Patel and Dudley",Cosmetic
6905,M,25-10-1981,366.56,1/2/2023,"Berry, Reeves and Best",Market
291542,M,31-10-1959,924.23,18-03-2023,"Pacheco, Sullivan and Jones",Electronics
517389,F,31-10-1956,781.85,30-03-2023,Dorsey Inc,Travel
744599,F,20-10-2003,1479.49,15-04-2023,"Fuller, Jones and White",Travel
726547,,29-10-1966,94.69,13-09-2023,Johnson-Campbell,Cosmetic
485562,F,22-10-1994,58.97,21-09-2023,"Freeman, Bush and Zuniga",Cosmetic
28347,M,26-10-1978,148.26,6/6/2023,Schwartz-Stephens,Cosmetic
899551,F,30-10-1961,157.6,20-07-2023,Cook-Williams,Clothing
485255,F,28-10-1970,2071.69,20-09-2023,"Peck, Horn and Stanley",Travel
668341,M,30-10-1961,251.83,21-06-2023,Gonzalez-Castro,Market
355400,F,26-10-1978,631.18,10/9/2023,Padilla-Greene,Travel
796123,M,1/11/1953,1745.4,5/3/2023,Manning Inc,Travel
343329,M,25-10-1980,487.43,14-01-2023,"Gilbert, Hernandez and Wilson",Electronics
409886,M,20-10-2000,64.39,18-05-2023,Lynch Inc,Clothing
11697,F,20-10-2001,2423.86,2/9/2023,King-Wright,Travel
13908,F,20-10-2003,98.4,17-09-2023,"White, Bernard and Adkins",Cosmetic
373595,F,24-10-1987,84.46,17-05-2023,Mason PLC,Restaurant
599093,,31-10-1956,57.83,6/8/2023,Jimenez Inc,Electronics
370834,F,21-10-1997,856.38,26-07-2023,Hamilton and Sons,Electronics
261654,,26-10-1977,147.43,11/6/2023,Thomas LLC,Cosmetic
232533,M,31-10-1958,128.67,7/10/2023,Sanders PLC,Cosmetic
555415,F,30-10-1962,50.21,20-03-2023,"Washington, Hinton and Sparks",Market
717993,M,21-10-1998,71.38,26-09-2023,"French, Wright and Tapia",Clothing
573771,F,23-10-1991,331.08,30-06-2023,Torres LLC,Electronics
59223,F,2/11/1949,711.74,7/7/2023,Diaz LLC,Travel
801291,,25-10-1980,1374.86,19-03-2023,Johnson LLC,Travel
858686,F,20-10-2003,39.24,18-02-2023,Morales-Velasquez,Restaurant
652558,F,22-10-1995,16.68,1/5/2023,Barnes-Walton,Cosmetic
39683,M,25-10-1982,112.63,25-05-2023,Ellis-Zimmerman,Cosmetic
344613,F,31-10-1957,185.8,7/5/2023,Nguyen-Bradley,Cosmetic
62730,M,26-10-1978,58.11,31-03-2023,"Brooks, Reed and Adams",Restaurant
816425,F,29-10-1966,66.45,23-06-2023,Cooper Inc,Restaurant
641954,F,22-10-1995,2035.14,14-09-2023,"Beck, Morris and Murphy",Travel
904827,F,30-10-1963,153.73,20-06-2023,"Blankenship, Atkinson and Howard",Travel
779830,F,1/11/1955,130.7,12/2/2023,Hester-Greer,Cosmetic
765738,F,21-10-1998,180.37,21-08-2023,Wilcox PLC,Market
805732,F,25-10-1980,2612.99,3/7/2023,"Woodard, Boyd and Mays",Travel
982485,,25-10-1982,139.2,4/8/2023,"White, Hensley and Hayes",Market
955318,F,27-10-1972,235.47,18-06-2023,"Collins, Hill and Chapman",Clothing
738539,,19-10-2005,52.71,26-09-2023,"Butler, Stewart and Peterson",Clothing
396758,M,26-10-1976,12.26,10/6/2023,Howard-Miller,Restaurant
884080,F,25-10-1980,147.62,15-03-2023,"Jackson, Ramirez and Jones",Cosmetic
34415,F,22-10-1995,2770.66,28-07-2023,Peterson LLC,Travel
164888,F,20-10-2001,654.39,29-07-2023,Ward-Klein,Electronics
677049,M,2/11/1951,23.42,17-05-2023,Kelly-Jones,Clothing
289003,F,31-10-1957,1949.03,1/1/2023,Stephens-Shelton,Travel
385557,F,20-10-2003,47.85,17-04-2023,Smith Inc,Restaurant
665628,F,23-10-1990,40.42,20-08-2023,"Odonnell, Bright and Lewis",Clothing
95705,F,29-10-1967,263.62,20-01-2023,Rogers and Sons,Clothing
697024,,30-10-1961,76.6,4/8/2023,Oconnor PLC,Cosmetic
273487,F,20-10-2002,21.85,6/4/2023,Yu and Sons,Restaurant
828224,M,2/11/1949,154.36,8/10/2023,Phillips Inc,Market
641695,F,20-10-2001,40.39,14-09-2023,"Mccormick, Adkins and Cobb",Restaurant
410859,F,22-10-1995,50.69,2/10/2023,Rogers-Levy,Market
403963,,28-10-1970,311.04,30-05-2023,Matthews PLC,Market
526718,M,29-10-1967,1616.19,1/7/2023,"Jackson, Ray and Cooper",Travel
364086,M,1/11/1952,839.12,23-03-2023,Carey Ltd,Electronics
178510,F,28-10-1969,287.34,18-08-2023,"Chang, Blevins and Miller",Market
143865,F,31-10-1956,246.62,2/8/2023,Patterson-Davenport,Market
946664,M,31-10-1958,168.28,26-01-2023,Rice-Ramos,Cosmetic
800246,,21-10-1996,96.41,21-03-2023,"Miller, Foster and Reed",Cosmetic
884621,F,30-10-1963,344.34,20-07-2023,Kim and Sons,Electronics
420838,,27-10-1975,231.65,21-02-2023,Arnold-Blackburn,Market
59633,M,29-10-1967,211.58,27-03-2023,Montgomery-Ruiz,Market
361536,M,28-10-1970,234.16,24-05-2023,"Davis, Griffin and Gates",Clothing
496809,M,2/11/1950,10.51,28-09-2023,"Baker, Schaefer and Brown",Market
471552,M,25-10-1981,304.25,16-04-2023,Bryant-Sanchez,Electronics
450062,F,2/11/1951,278.38,23-07-2023,Frost-Smith,Market
925651,M,26-10-1976,159.44,18-05-2023,Arnold Ltd,Clothing
155186,F,19-10-2005,21.79,29-08-2023,Cook-Moore,Restaurant
838514,M,19-10-2004,231.35,2/3/2023,Miller Inc,Clothing
981118,M,28-10-1971,2362.42,28-06-2023,"Thomas, Simpson and Tyler",Travel
658610,M,29-10-1965,395.33,20-03-2023,"Bryant, Mcbride and White",Market
463162,,31-10-1958,958.43,28-04-2023,Young and Sons,Electronics
707412,F,24-10-1985,94.93,27-08-2023,"Fuller, Bowen and Davis",Restaurant
514027,,29-10-1964,521.53,14-06-2023,Jackson and Sons,Electronics
370935,M,29-10-1966,56.48,23-06-2023,"Waters, Morse and Gray",Market
986863,F,27-10-1973,58.8,15-05-2023,"Richard, Hill and Cohen",Restaurant
67931,,30-10-1963,313.71,31-01-2023,Dawson-Ellis,Market
908317,M,25-10-1980,22.38,27-08-2023,"Green, Wilson and Henry",Restaurant
347539,M,29-10-1966,11.83,25-01-2023,Smith-Martinez,Restaurant
726123,,20-10-2000,202.12,12/6/2023,Patel LLC,Market
79597,M,1/11/1955,246.7,22-05-2023,Moreno-Fernandez,Travel
95898,M,28-10-1969,58.75,5/5/2023,Webster and Sons,Restaurant
802243,F,27-10-1973,2128,28-05-2023,Hays-Leon,Travel
805206,F,2/11/1949,86.96,28-08-2023,Horton LLC,Cosmetic
140219,F,24-10-1986,79,8/6/2023,"Brown, Jones and Perez",Cosmetic
796551,F,31-10-1956,141.06,12/5/2023,Bass Inc,Cosmetic
465123,F,27-10-1972,95.21,26-05-2023,Fleming-Cantrell,Restaurant
428576,F,25-10-1981,11.98,18-04-2023,Miller-Taylor,Restaurant
672487,M,30-10-1961,381.13,17-09-2023,Williams Inc,Market
471101,,25-10-1980,442.32,20-06-2023,Parker-Carey,Electronics
661557,F,29-10-1964,2311.32,10/10/2023,Roberts and Sons,Travel
354655,F,19-10-2004,269.51,9/8/2023,Robertson-Golden,Clothing
41196,F,26-10-1978,1854.31,3/4/2023,"Valdez, Carter and Brown",Travel
202678,F,29-10-1964,1270.81,21-02-2023,Potts-Wood,Travel
292008,F,20-10-2003,104.15,15-06-2023,Higgins Ltd,Clothing
313343,M,23-10-1988,996.09,24-06-2023,Jones and Sons,Electronics
918581,,21-10-1998,230.32,14-05-2023,Harrison-Rose,Clothing
449817,F,26-10-1979,77.12,19-04-2023,"Moore, Thompson and Russell",Restaurant
147364,M,30-10-1961,77.43,23-03-2023,Casey-Powers,Electronics
595276,M,27-10-1975,429.49,5/2/2023,"Hayes, Ross and Smith",Market
266510,,20-10-2003,537.66,24-03-2023,"Perkins, Jimenez and Hunter",Electronics
138959,,22-10-1994,2371.02,22-08-2023,Robinson-Mitchell,Travel
465981,F,24-10-1987,1868.64,26-02-2023,"Ortiz, Carpenter and Collins",Travel
528337,M,30-10-1960,201.37,21-02-2023,Anderson Inc,Clothing
538549,F,26-10-1979,149.98,22-07-2023,Stanley-Morris,Market
806417,,24-10-1985,75.65,23-06-2023,Stone Group,Electronics
247945,M,20-10-2000,134.33,2/1/2023,Vega-Jackson,Cosmetic
880747,M,23-10-1991,2433.47,13-06-2023,Greene Inc,Travel
63966,,25-10-1980,54.06,14-06-2023,Herring-Walsh,Clothing
269658,F,20-10-2002,83.38,24-02-2023,Holt and Sons,Clothing
998320,M,30-10-1963,90.16,17-09-2023,Hill LLC,Restaurant
538301,,21-10-1997,274.8,14-07-2023,Brown Group,Clothing
664294,M,19-10-2005,927.47,7/1/2023,Turner Group,Travel
949304,F,21-10-1997,66.11,14-01-2023,Nguyen-Booth,Clothing
71844,F,20-10-2003,144.23,4/1/2023,"Frazier, Edwards and Wall",Cosmetic
160904,M,28-10-1971,2163.17,10/4/2023,"Hudson, Fry and Moore",Travel
140041,F,29-10-1965,701.38,2/1/2023,Miller LLC,Electronics
760246,F,25-10-1981,50.36,1/4/2023,"Jones, Sutton and Burton",Restaurant
954346,M,1/11/1955,94.07,17-03-2023,Lewis Ltd,Cosmetic
603507,M,30-10-1960,125.92,29-07-2023,"Kelly, Osborne and Moore",Clothing
428653,F,20-10-2000,193.66,8/5/2023,"Wright, Christian and Moon",Clothing
483307,F,20-10-2001,78.67,19-09-2023,Lang-Powell,Electronics
80027,,31-10-1957,264.96,16-03-2023,Stone-Joseph,Market
524694,F,28-10-1968,974.83,3/3/2023,"Jones, Cortez and Weaver",Travel
779318,F,24-10-1985,13.91,14-02-2023,Shelton PLC,Restaurant
714392,F,22-10-1992,199.06,17-07-2023,Whitehead-Santos,Clothing
97841,,29-10-1966,624.17,15-05-2023,"Hart, Lynch and Gonzalez",Electronics
814720,,23-10-1991,202.51,9/4/2023,"Anderson, Garcia and Beard",Market
713796,M,28-10-1969,88.84,6/10/2023,Haney-Palmer,Cosmetic
999791,F,25-10-1981,50.64,21-05-2023,Brown Ltd,Restaurant
514760,M,31-10-1956,212.61,5/10/2023,Melendez-Bennett,Clothing
671409,M,28-10-1971,1658.37,1/6/2023,"Hall, Wright and Jefferson",Travel
787275,M,22-10-1995,53.81,6/2/2023,Nelson Inc,Market
416580,M,28-10-1971,45.31,17-03-2023,"Wright, James and Smith",Cosmetic
584239,M,31-10-1958,73.39,26-05-2023,Johnson Inc,Restaurant
883989,M,27-10-1974,45.99,11/7/2023,Evans LLC,Restaurant
810891,F,23-10-1988,131.53,22-04-2023,Ingram-Lucas,Electronics
311624,M,24-10-1984,31.97,21-09-2023,Weiss Ltd,Clothing
173126,M,24-10-1985,288.53,17-02-2023,Mcmillan Inc,Clothing
820056,M,22-10-1994,2774.08,10/10/2023,Hall and Sons,Travel
683369,F,2/11/1948,306.21,8/6/2023,"Velasquez, Shah and Thomas",Market
269539,F,27-10-1972,214.52,7/4/2023,"Aguilar, Rodriguez and Cruz",Clothing
757732,F,30-10-1962,85.54,16-08-2023,Adkins-Weiss,Cosmetic
604713,F,30-10-1960,105.78,4/2/2023,"Levy, Nelson and Wilson",Clothing
77950,M,19-10-2004,424.61,21-09-2023,Campbell-Newman,Market
427939,M,28-10-1969,136.61,7/3/2023,Wilson PLC,Clothing
152372,,26-10-1976,775.24,23-05-2023,Jones Group,Electronics
197007,F,21-10-1999,273.92,17-06-2023,"Hernandez, Wiggins and Duncan",Clothing
308476,F,20-10-2000,140.4,17-07-2023,Garcia Group,Clothing
805058,M,25-10-1983,289.85,28-03-2023,Thornton-Ibarra,Electronics
212969,F,20-10-2001,209.17,8/4/2023,Guerrero-Delgado,Market
111995,F,27-10-1973,73.27,4/9/2023,Reyes-Perkins,Restaurant
613364,F,25-10-1982,284.62,19-06-2023,James-Bennett,Electronics
838364,M,27-10-1972,866.42,17-07-2023,"Hill, Bell and Morris",Electronics
252520,,19-10-2004,2720.55,13-02-2023,Proctor-Rodgers,Travel
358563,M,24-10-1986,36.44,29-08-2023,"Robles, Jackson and Lang",Clothing
231013,M,1/11/1953,529.08,14-04-2023,Mullen-Jones,Travel
311124,F,26-10-1977,524.45,3/9/2023,Downs-Donovan,Electronics
752844,M,24-10-1986,31.99,12/1/2023,Mejia-Farley,Clothing
872305,F,2/11/1950,123.18,2/1/2023,Chan-Myers,Clothing
696669,,31-10-1956,10.02,6/5/2023,Reed-Warner,Cosmetic
455713,M,27-10-1974,59,12/4/2023,Fisher Group,Restaurant
985602,M,2/11/1950,232.62,3/9/2023,"Orozco, Patterson and Robinson",Clothing
209862,M,23-10-1990,173.02,17-01-2023,Nichols-Brown,Cosmetic
259800,F,26-10-1976,168.69,14-02-2023,"Jones, Franklin and Lambert",Cosmetic
733597,F,24-10-1986,58.04,22-02-2023,Mann-Mccormick,Restaurant
655471,F,19-10-2005,464.17,22-02-2023,Burke Group,Market
827843,F,27-10-1973,766.06,15-05-2023,Wu LLC,Travel
726336,F,1/11/1953,39.24,17-01-2023,Lopez-Gonzalez,Restaurant
7793,F,2/11/1948,12.67,16-02-2023,Gray-Smith,Restaurant
151825,M,2/11/1949,1981.24,4/10/2023,"Frey, Davis and Davis",Travel
178979,M,24-10-1984,215.27,3/2/2023,Taylor-Lewis,Market
59423,F,30-10-1962,290.5,16-05-2023,"Parsons, Ballard and Kelley",Clothing
957395,M,23-10-1988,425.61,3/9/2023,Scott Ltd,Market
187306,,30-10-1962,226.16,1/7/2023,"Goodwin, Lopez and Skinner",Clothing
379290,M,28-10-1970,115.83,20-07-2023,Duran-Hawkins,Clothing
508537,,30-10-1960,147.81,9/8/2023,"Thomas, Harrell and Davenport",Market
760506,M,28-10-1971,2471.45,4/8/2023,Richards Ltd,Travel
830134,M,25-10-1983,200.02,19-02-2023,"Jennings, Lopez and Lamb",Clothing
228033,M,30-10-1960,1893.84,24-09-2023,Cox-Brown,Travel
115511,M,2/11/1950,265.58,25-04-2023,Nicholson-Gonzales,Clothing
857685,M,25-10-1983,105.68,23-06-2023,"Meyer, Ryan and Conway",Market
659582,F,21-10-1996,18.96,11/6/2023,"Ellis, Chambers and Wilson",Cosmetic
845147,F,1/11/1954,241.12,21-08-2023,Fernandez Group,Clothing
975406,,30-10-1962,2648.72,5/8/2023,Little-Solomon,Travel
216148,M,25-10-1980,488.7,7/4/2023,Robinson-Gibson,Electronics
325243,F,27-10-1975,98.1,19-05-2023,"Gonzalez, Lowe and Key",Restaurant
36470,F,26-10-1978,764.15,4/7/2023,"Hernandez, Johnson and Anderson",Electronics
895352,F,31-10-1958,82.77,24-04-2023,"Robles, Miller and Perez",Restaurant
512231,M,26-10-1977,193.57,4/6/2023,"Smith, Kerr and Brooks",Market
733759,F,22-10-1993,593.21,22-02-2023,Hernandez LLC,Electronics
169890,M,31-10-1959,2585.86,30-05-2023,Martinez Inc,Travel
746742,F,20-10-2002,484.35,26-06-2023,Tucker-Moreno,Market
376133,M,30-10-1960,359.88,4/10/2023,Stout-Brock,Market
898170,M,22-10-1993,165.96,22-04-2023,Fox Inc,Cosmetic
766756,M,27-10-1973,52.29,13-09-2023,Davis Group,Market
559660,F,20-10-2002,76.07,11/7/2023,"Case, Johnson and Wells",Restaurant
523959,M,23-10-1988,161.17,27-02-2023,"Miller, Garza and Harvey",Cosmetic
135321,M,26-10-1977,692.42,4/9/2023,Norton LLC,Electronics
956541,F,2/11/1949,85.14,30-04-2023,Anderson-Stephens,Cosmetic
