Name,Location,Year,Miles_Driven,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mpg,Mileage km/l,Engine,Power,Seats,New_Price,Price,Difference
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,25420,41000,Diesel,Manual,First,46.22,19.67,1582 CC,126.2 bhp,5,,12.5,12.5
Honda Jazz V,Chennai,2011,28520,46000,Petrol,Manual,First,30.55,13,1199 CC,88.7 bhp,5,8.61,4.5,4.11
Maruti Ertiga VDI,Chennai,2012,53940,87000,Diesel,Manual,First,48.81,20.77,1248 CC,88.76 bhp,7,,6,6
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,25215,40670,Diesel,Automatic,Second,35.72,15.2,1968 CC,140.8 bhp,5,,17.74,17.74
Nissan Micra Diesel XV,Jaipur,2013,53939,86999,Diesel,Manual,First,54.24,23.08,1461 CC,63.1 bhp,5,,3.5,3.5
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,22320,36000,Diesel,Automatic,First,26.70,11.36,2755 CC,171.5 bhp,8,21.00,17.5,3.5
Volkswagen Vento Diesel Comfortline,Pune,2013,39947,64430,Diesel,Manual,First,48.27,20.54,1598 CC,103.6 bhp,5,,5.2,5.2
Tata Indica Vista Quadrajet LS,Chennai,2012,40878,65932,Diesel,Manual,Second,52.41,22.3,1248 CC,74 bhp,5,,1.95,1.95
Maruti Ciaz Zeta,Kochi,2018,15929,25692,Petrol,Manual,First,50.67,21.56,1462 CC,103.25 bhp,5,10.65,9.95,0.7
Honda City 1.5 V AT Sunroof,Kolkata,2012,37200,60000,Petrol,Automatic,First,39.48,16.8,1497 CC,116.3 bhp,5,,4.49,4.49
Maruti Swift VDI BSIV,Jaipur,2015,39943,64424,Diesel,Manual,First,59.22,25.2,1248 CC,74 bhp,5,,5.6,5.6
Land Rover Range Rover 2.2L Pure,Delhi,2014,44640,72000,Diesel,Automatic,First,29.85,12.7,2179 CC,187.7 bhp,5,,27,27
Land Rover Freelander 2 TD4 SE,Pune,2012,52700,85000,Diesel,Automatic,Second,0.00,0,2179 CC,115 bhp,5,,17.5,17.5
Mitsubishi Pajero Sport 4X4,Delhi,2014,68200,110000,Diesel,Manual,First,31.73,13.5,2477 CC,175.56 bhp,7,32.01,15,17.01
Honda Amaze S i-Dtech,Kochi,2016,36549,58950,Diesel,Manual,First,60.63,25.8,1498 CC,98.6 bhp,5,,5.4,5.4
Maruti Swift DDiS VDI,Jaipur,2017,15500,25000,Diesel,Manual,First,66.74,28.4,1248 CC,74 bhp,5,,5.99,5.99
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,48031,77469,Diesel,Manual,First,48.06,20.45,1461 CC,83.8 bhp,5,,6.34,6.34
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,48670,78500,Diesel,Automatic,First,34.87,14.84,2143 CC,167.62 bhp,5,,28,28
BMW 3 Series 320d,Kochi,2014,20449,32982,Diesel,Automatic,First,53.32,22.69,1995 CC,190 bhp,5,47.87,18.55,29.32
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,34343,55392,Diesel,Manual,Second,55.58,23.65,1248 CC,88.5 bhp,5,,8.25,8.25
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,34711,55985,Petrol,Automatic,First,31.80,13.53,1984 CC,177.01 bhp,5,,23.5,23.5
Hyundai i20 1.2 Magna,Kolkata,2010,28400,45807,Petrol,Manual,First,43.48,18.5,1197 CC,80 bhp,5,,1.87,1.87
Volkswagen Vento Petrol Highline AT,Kolkata,2010,20460,33000,Petrol,Automatic,First,33.84,14.4,1598 CC,103.6 bhp,5,,2.85,2.85
Honda City Corporate Edition,Mumbai,2012,32190,51920,Petrol,Manual,First,39.48,16.8,1497 CC,116.3 bhp,5,,4.25,4.25
Nissan Micra Diesel XV,Hyderabad,2012,33480,54000,Diesel,Manual,First,38.73,16.48,1461 CC,63.1 bhp,5,,4.25,4.25
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,33480,54000,Petrol,Manual,Second,49.16,20.92,998 CC,67.1 bhp,5,,2.75,2.75
Honda WRV i-VTEC VX,Kochi,2018,23207,37430,Petrol,Manual,First,41.13,17.5,1199 CC,88.7 bhp,5,10.57,9.9,0.67
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,162440,262000,Diesel,Manual,Fourth & Above,30.08,12.8,2494 CC,102 bhp,7,,4,4
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,38440,62000,Diesel,Manual,First,44.67,19.01,1461 CC,108.45 bhp,5,,7.75,7.75
Toyota Corolla Altis G,Delhi,2012,54321,87615,Petrol,Manual,First,34.15,14.53,1798 CC,138.1 bhp,5,,6.75,6.75
Mahindra Ssangyong Rexton RX7,Bangalore,2013,44640,72000,Diesel,Automatic,Second,26.27,11.18,2696 CC,184 bhp,7,,12.5,12.5
Audi A6 2.7 TDI,Kolkata,2010,21700,35000,Diesel,Automatic,First,29.14,12.4,2698 CC,179.5 bhp,5,,11.5,11.5
Volkswagen Vento 1.6 Highline,Coimbatore,2014,34367,55431,Petrol,Manual,Second,37.81,16.09,1598 CC,103.5 bhp,5,12.33,6.98,5.35
Maruti Wagon R LXI BSIII,Jaipur,2009,51966,83816,Petrol,Manual,Second,32.90,14,1061 CC,64 bhp,5,,1.85,1.85
Maruti Vitara Brezza ZDi Plus,Kochi,2018,31047,50075,Diesel,Manual,First,57.11,24.3,1248 CC,88.5 bhp,5,11.12,8.63,2.49
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,32240,52000,Petrol,Manual,First,42.65,18.15,1198 CC,82 bhp,5,,4.85,4.85
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,52700,85000,Diesel,Automatic,First,27.59,11.74,2987 CC,254.8 bhp,5,,28,28
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,38440,62000,Diesel,Manual,First,51.86,22.07,1199 CC,73.9 bhp,5,,5,5
Maruti Alto LXi,Delhi,2008,55800,90000,Petrol,Manual,Second,46.30,19.7,796 CC,46.3 bhp,5,,1.25,1.25
Tata Nano LX SE,Kochi,2014,12213,19698,Petrol,Manual,First,59.69,25.4,624 CC,37.5 bhp,4,,1.53,1.53
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,13660,22033,Diesel,Manual,First,59.50,25.32,1198 CC,77 bhp,6,,5.58,5.58
Hyundai i20 Magna Optional 1.2,Kochi,2014,22002,35487,Petrol,Manual,First,43.48,18.5,1197 CC,82.9 bhp,5,,4.74,4.74
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,28752,46374,Petrol,Automatic,First,34.36,14.62,1999 CC,149.92 bhp,5,23.64,8.85,14.79
Toyota Corolla Altis G AT,Mumbai,2016,32241,52001,Petrol,Automatic,First,33.56,14.28,1798 CC,138.03 bhp,5,,10.11,10.11
Hyundai Elantra CRDi,Ahmedabad,2008,35963,58005,Diesel,Manual,Second,35.02,14.9,1991 CC,112.2 bhp,5,,4.25,4.25
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,43836,70704,Petrol,Manual,First,26.44,11.25,2694 CC,163.7 bhp,7,18.64,10.95,7.69
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,46500,75000,Diesel,Manual,First,57.34,24.4,1120 CC,71 bhp,5,,3.85,3.85
Mahindra Thar CRDe AC,Jaipur,2012,46996,75800,Diesel,Manual,Second,38.89,16.55,2498 CC,105 bhp,6,,5.5,5.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,8462,13648,Diesel,Automatic,First,40.21,17.11,1968 CC,174.33 bhp,5,,21.43,21.43
Maruti Swift LDI,Delhi,2014,32240,52000,Diesel,Manual,First,53.82,22.9,1248 CC,74 bhp,5,,4.25,4.25
Maruti Swift Ldi BSIV,Kolkata,2014,32860,53000,Diesel,Manual,First,41.83,17.8,1248 CC,75 bhp,5,,3.3,3.3
Maruti Swift VDI,Delhi,2013,40703,65650,Diesel,Manual,First,66.74,28.4,1248 CC,74 bhp,5,,3.85,3.85
Hyundai Grand i10 Sportz,Chennai,2015,33480,54000,Petrol,Manual,Third,44.42,18.9,1197 CC,82 bhp,5,,3.6,3.6
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,24180,39000,Petrol,Manual,First,35.34,15.04,1598 CC,103.2 bhp,5,,3.99,3.99
Renault KWID RXT,Kochi,2017,10256,16542,Petrol,Manual,First,59.15,25.17,799 CC,53.3 bhp,5,,3.3,3.3
Hyundai i10 Asta,Kolkata,2010,19840,32000,Petrol,Manual,First,47.85,20.36,1197 CC,78.9 bhp,5,,2.07,2.07
Nissan X-Trail SLX AT,Hyderabad,2010,75523,121812,Diesel,Automatic,First,22.30,9.49,1995 CC,147.6 bhp,5,,7.75,7.75
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,24366,39300,Petrol,Manual,First,42.77,18.2,998 CC,67.1 bhp,5,,2.25,2.25
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,13640,22000,Diesel,Manual,First,32.15,13.68,2393 CC,147.8 bhp,8,19.34,16.5,2.84
Ford Figo Diesel Titanium,Bangalore,2010,44640,72000,Diesel,Manual,First,47.00,20,1399 CC,68 bhp,5,,2.75,2.75
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,35960,58000,Petrol,Automatic,First,27.59,11.74,1796 CC,186 bhp,5,,26.7,26.7
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,40300,65000,Diesel,Manual,Second,37.13,15.8,2148 CC,170 bhp,5,,10,10
Tata Indica V2 eLS,Chennai,2016,110360,178000,Diesel,Manual,First,58.75,25,1396 CC,69 bhp,5,,2.5,2.5
Audi A4 2.0 TDI Multitronic,Jaipur,2012,40712,65664,Diesel,Automatic,First,38.89,16.55,1968 CC,140 bhp,5,,13.5,13.5
Honda City ZX CVT,Mumbai,2007,39060,63000,Petrol,Automatic,Second,38.54,16.4,1497 CC,78 bhp,5,,1.85,1.85
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,9529,15369,Diesel,Automatic,First,0.00,0,1950 CC,194 bhp,5,49.14,35.67,13.47
Maruti Ertiga SHVS VDI,Pune,2016,39060,63000,Diesel,Manual,First,57.62,24.52,1248 CC,88.5 bhp,7,,8.15,8.15
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,8060,13000,Diesel,Manual,First,51.94,22.1,1396 CC,88.7 bhp,5,11.81,10.5,1.31
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,45260,73000,Petrol,Automatic,First,19.98,8.5,4806 CC,500 bhp,5,,14.5,14.5
Mahindra XUV500 W8 4WD,Mumbai,2015,34552,55729,Diesel,Manual,First,35.49,15.1,2179 CC,140 bhp,7,,9.65,9.65
Hyundai i10 Sportz 1.2 AT,Kochi,2012,28010,45178,Petrol,Automatic,First,39.83,16.95,1197 CC,78.9 bhp,5,,3.48,3.48
Nissan Terrano XV D Pre,Kochi,2015,34761,56066,Diesel,Manual,First,46.15,19.64,1461 CC,108.5 bhp,5,16.65,6.92,9.73
Honda Brio VX AT,Coimbatore,2016,23126,37300,Petrol,Automatic,Second,38.78,16.5,1198 CC,86.8 bhp,5,,6.46,6.46
Audi A6 2.0 TDI Design Edition,Delhi,2014,34720,56000,Diesel,Automatic,Second,43.55,18.53,1968 CC,187.74 bhp,5,,29.5,29.5
Toyota Innova 2.0 G1,Chennai,2006,142600,230000,Petrol,Manual,Third,29.14,12.4,1998 CC,132 bhp,8,,4.5,4.5
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,64480,104000,Diesel,Manual,First,30.08,12.8,2494 CC,102 bhp,7,,11.75,11.75
